,Unnamed: 0,Unnamed: 0.1,Roll,Sem,SubCode,Credit,Grade,Sub_Type
0,0,0,0401CS01,1,CH101,8,BB,CORE
1,1,1,0401CS01,1,CH110,3,BC,CORE
2,2,2,0401CS01,1,EE101,8,BB,CORE
3,3,3,0401CS01,1,HS101,6,BB,CORE
4,4,4,0401CS01,1,MA101,8,BB,CORE
5,5,5,0401CS01,1,ME111,7,AB,CORE
6,6,6,0401CS01,1,PH101,6,CC,CORE
7,7,7,0401CS01,1,PH110,3,AA,CORE
8,8,8,0401CS01,2,CH102,6,CC,CORE
9,9,9,0401CS01,2,CS101,6,BC,CORE
10,10,10,0401CS01,2,CS110,3,BC,CORE
11,11,11,0401CS01,2,EE102,4,BB,CORE
12,12,12,0401CS01,2,MA102,8,BC,CORE
13,13,13,0401CS01,2,ME101,8,BC,CORE
14,14,14,0401CS01,2,ME110,3,AB,CORE
15,15,15,0401CS01,2,PH102,6,CD,CORE
16,16,16,0401CS01,3,CS201,9,BB,CORE
17,17,17,0401CS01,3,CS203,6,BB,CORE
18,18,18,0401CS01,3,CS221,6,BB,CORE
19,19,19,0401CS01,3,EE220,8,BB,CORE
20,20,20,0401CS01,3,HS201,6,BB,HS Elective
21,21,21,0401CS01,3,MA201,8,BB,CORE
22,22,22,0401CS01,4,CS204,6,BB,CORE
23,23,23,0401CS01,4,CS222,6,CC,CORE
24,24,24,0401CS01,4,CS223,3,BB,CORE
25,25,25,0401CS01,4,CS241,7,AB,CORE
26,26,26,0401CS01,4,CS242,5,AB,CORE
27,27,27,0401CS01,4,HS202,6,BB,HS ELECTIVE
28,28,28,0401CS01,4,MA225,8,BB,CORE
29,29,29,0401CS01,4,MA251,6,BB,Elective-Sc.
30,30,30,0401CS01,5,CS301,6,BB,CORE
31,31,31,0401CS01,5,CS331,8,BC,CORE
32,32,32,0401CS01,5,CS341,6,BB,CORE
33,33,33,0401CS01,5,CS342,5,AB,CORE
34,34,34,0401CS01,5,CS343,6,BB,CORE
35,35,35,0401CS01,5,CS344,6,BB,CORE
36,36,36,0401CS01,5,CS345,5,BB,CORE
37,37,37,0401CS01,6,CS302,6,BC,CORE
38,38,38,0401CS01,6,CS346,6,BC,CORE
39,39,39,0401CS01,6,CS347,3,BB,CORE
40,40,40,0401CS01,6,CS348,8,BC,CORE
